duration(s);cost;bonus;route
0.49;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.49;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.49;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.52;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.52;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.50;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.49;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.49;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.49;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.49;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.48;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.49;1479;6099;[0, 4, 18, 6, 16, 12, 5, 9, 15]
0.49;1479;6099;[0, 4, 18, 6, 16, 12, 5, 9, 15]
0.49;1456;5883;[0, 15, 11, 5, 12, 16, 19, 2, 4]
0.49;1456;5883;[0, 15, 11, 5, 12, 16, 19, 2, 4]
0.48;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.49;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.49;1479;6099;[0, 4, 18, 6, 16, 12, 5, 9, 15]
0.49;1479;6099;[0, 4, 18, 6, 16, 12, 5, 9, 15]
0.50;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.50;1456;5883;[0, 4, 2, 19, 16, 12, 5, 15, 11]
0.48;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.48;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.51;1456;6058;[0, 8, 16, 12, 5, 9, 15, 11, 4]
0.51;1456;6058;[0, 8, 16, 12, 5, 9, 15, 11, 4]
0.51;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.51;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
0.52;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.52;1456;5883;[0, 4, 2, 19, 16, 12, 5, 11, 15]
0.52;1456;6058;[0, 4, 11, 15, 9, 5, 12, 16, 8]
