duration(s);cost;bonus;route
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.37;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 3, 1, 5, 2]
0.38;801;3462;[0, 3, 1, 5, 2]
0.39;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.39;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 3, 1, 5, 2]
0.38;801;3462;[0, 3, 1, 5, 2]
0.39;801;3462;[0, 2, 5, 1, 3]
0.39;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.37;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.37;801;3462;[0, 2, 5, 1, 3]
0.37;801;3462;[0, 2, 5, 1, 3]
0.41;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
0.38;801;3462;[0, 2, 5, 1, 3]
