duration(s);cost;bonus;route
0.20;793;2981;[0, 4, 9, 8, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.20;793;2848;[0, 4, 9, 1, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.19;793;2848;[0, 4, 9, 1, 7]
0.20;814;2972;[0, 4, 6, 3, 7]
0.20;814;2972;[0, 4, 6, 3, 7]
0.20;814;2972;[0, 4, 6, 3, 7]
0.20;814;2972;[0, 4, 6, 3, 7]
0.21;814;2972;[0, 4, 6, 3, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.21;793;2981;[0, 4, 9, 8, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.23;807;2889;[0, 4, 9, 5, 7]
0.24;807;2889;[0, 4, 9, 5, 7]
0.20;807;2889;[0, 4, 9, 5, 7]
0.20;807;2889;[0, 4, 9, 5, 7]
0.20;807;2889;[0, 4, 9, 5, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.20;793;2981;[0, 4, 9, 8, 7]
0.20;793;2848;[0, 4, 9, 1, 7]
