duration(s);cost;bonus;route
0.35;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 6, 4, 7, 5]
0.35;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.35;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 5, 7, 4, 6]
0.39;907;3133;[0, 5, 7, 4, 6]
0.36;907;3133;[0, 5, 7, 4, 6]
0.35;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
0.36;907;3133;[0, 6, 4, 7, 5]
