duration(s);cost;bonus;route
0.48;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.49;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.49;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.49;1506;6807;[0, 14, 15, 5, 8, 11, 19, 17, 10]
0.49;1506;6807;[0, 14, 15, 5, 8, 11, 19, 17, 10]
0.48;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.48;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.48;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.48;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.50;1511;7131;[0, 3, 11, 8, 19, 17, 10, 1, 15, 14]
0.50;1511;7131;[0, 3, 11, 8, 19, 17, 10, 1, 15, 14]
0.52;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.53;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.52;1506;6807;[0, 14, 15, 5, 8, 11, 19, 17, 10]
0.49;1506;6807;[0, 14, 15, 5, 8, 11, 19, 17, 10]
0.51;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.52;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.55;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.56;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.52;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.54;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.55;1496;7025;[0, 2, 8, 19, 11, 9, 10, 1, 15, 14]
0.56;1496;7025;[0, 14, 15, 1, 10, 9, 11, 19, 8, 2]
0.53;1496;7025;[0, 14, 15, 1, 10, 9, 11, 19, 8, 2]
0.49;1506;6807;[0, 14, 15, 5, 8, 11, 19, 17, 10]
0.51;1506;6807;[0, 14, 15, 5, 8, 11, 19, 17, 10]
0.51;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.49;1506;6807;[0, 10, 17, 19, 11, 8, 5, 15, 14]
0.53;1505;6815;[0, 2, 8, 19, 17, 4, 6, 1, 15, 14]
0.54;1505;6815;[0, 2, 8, 19, 17, 4, 6, 1, 15, 14]
